,trade_day
755,20080220
756,20080221
757,20080222
758,20080225
759,20080226
760,20080227
761,20080228
762,20080229
763,20080303
764,20080304
765,20080305
766,20080306
767,20080307
768,20080310
769,20080311
770,20080312
771,20080313
772,20080314
773,20080317
774,20080318
775,20080319
776,20080320
777,20080321
778,20080324
779,20080325
780,20080326
781,20080327
782,20080328
783,20080331
784,20080401
785,20080402
786,20080403
787,20080407
788,20080408
789,20080409
790,20080410
791,20080411
792,20080414
793,20080415
794,20080416
795,20080417
796,20080418
797,20080421
798,20080422
799,20080423
800,20080424
801,20080425
802,20080428
803,20080429
804,20080430
805,20080505
806,20080506
807,20080507
808,20080508
809,20080509
810,20080512
811,20080513
812,20080514
813,20080515
814,20080516
815,20080519
816,20080520
817,20080521
818,20080522
819,20080523
820,20080526
821,20080527
822,20080528
823,20080529
824,20080530
825,20080602
826,20080603
827,20080604
828,20080605
829,20080606
830,20080610
831,20080611
832,20080612
833,20080613
834,20080616
835,20080617
836,20080618
837,20080619
838,20080620
839,20080623
840,20080624
841,20080625
842,20080626
843,20080627
844,20080630
845,20080701
846,20080702
847,20080703
848,20080704
849,20080707
850,20080708
851,20080709
852,20080710
853,20080711
854,20080714
855,20080715
856,20080716
857,20080717
858,20080718
859,20080721
860,20080722
861,20080723
862,20080724
863,20080725
864,20080728
865,20080729
866,20080730
867,20080731
868,20080801
869,20080804
870,20080805
871,20080806
872,20080807
873,20080808
874,20080811
875,20080812
876,20080813
877,20080814
878,20080815
879,20080818
880,20080819
881,20080820
882,20080821
883,20080822
884,20080825
885,20080826
886,20080827
887,20080828
888,20080829
889,20080901
890,20080902
891,20080903
892,20080904
893,20080905
894,20080908
895,20080909
896,20080910
897,20080911
898,20080912
899,20080916
900,20080917
901,20080918
902,20080919
903,20080922
904,20080923
905,20080924
906,20080925
907,20080926
908,20081006
909,20081007
910,20081008
911,20081009
912,20081010
913,20081013
914,20081014
915,20081015
916,20081016
917,20081017
918,20081020
919,20081021
920,20081022
921,20081023
922,20081024
923,20081027
924,20081028
925,20081029
926,20081030
927,20081031
928,20081103
929,20081104
930,20081105
931,20081106
932,20081107
933,20081110
934,20081111
935,20081112
936,20081113
937,20081114
938,20081117
939,20081118
940,20081119
941,20081120
942,20081121
943,20081124
944,20081125
945,20081126
946,20081127
947,20081128
948,20081201
949,20081202
950,20081203
951,20081204
952,20081205
953,20081208
954,20081209
955,20081210
956,20081211
957,20081212
958,20081215
959,20081216
960,20081217
961,20081218
962,20081219
963,20081222
964,20081223
965,20081224
966,20081225
967,20081226
968,20081229
969,20081230
970,20081231
971,20090105
