,ANN_DT,REPORT_PERIOD,IFLISTED_DATA,OPER_REV,NET_PROFIT_INCL_MIN_INT_INC,NET_PROFIT_EXCL_MIN_INT_INC,TOT_SHRHLDR_EQY_EXCL_MIN_INT,TOT_SHRHLDR_EQY_INCL_MIN_INT,S_INFO_COMPNAME,S_INFO_COMPCODE,OPDATE,OPMODE,code
1535,20150807,20150731,1,1281308900.0,601731500.0,601731500.0,97285416900.0,97285416900.0,海通证券股份有限公司,1600837,2015-09-16 17:42:56,0,600837.SH
1537,20150807,20150731,1,2713252600.0,1121408400.0,1121408400.0,85069346100.0,85069346100.0,国泰君安证券股份有限公司,2024680,2015-09-16 17:42:39,0,601211.SH
1538,20150807,20150731,1,1517390435.05,691222662.02,691222662.02,46435189067.4,46435189067.4,招商证券股份有限公司,2024359,2015-09-16 17:43:27,0,600999.SH
1541,20150908,20150831,1,334697100.0,138526800.0,138526800.0,18430303000.0,18430303000.0,国元证券股份有限公司,1000728,2015-09-16 17:44:04,0,000728.SZ
1543,20150908,20150831,1,471024900.0,174786000.0,174786000.0,16044867800.0,16044867800.0,兴业证券股份有限公司,2023060,2015-09-16 17:42:58,0,601377.SH
1545,20150908,20150831,1,1227888977.77,508791911.22,508791911.22,72259333356.5,72259333356.5,华泰证券股份有限公司,2002077,2015-09-16 17:44:01,0,601688.SH
1546,20150908,20150831,1,325773623.5,128023169.4,128023169.4,12422648556.5,12422648556.5,国海证券股份有限公司,1000750,2015-09-16 17:43:36,0,000750.SZ
1547,20150409,20150331,1,260748300.0,134787000.0,134787000.0,6499596100.0,6499596084.38,太平洋证券股份有限公司,04955EEF73,2015-09-16 17:42:19,0,601099.SH
1548,20150409,20150331,1,556745900.0,286708800.0,286708800.0,10777449032.4,10777449032.4,西部证券股份有限公司,502030478,2015-09-16 17:44:07,0,002673.SZ
1550,20150409,20150331,1,2174641561.76,1059059023.28,1059059023.28,39093309618.4,39093309618.4,广发证券股份有限公司,1000776,2015-09-16 17:43:49,0,000776.SZ
1551,20150409,20150331,1,3052568300.0,1620941700.0,1620941700.0,34821596769.0,34821596769.0,国信证券股份有限公司,2002075,2015-09-16 17:42:57,0,002736.SZ
1552,20150410,20150331,1,769152500.0,473384600.0,473384600.0,30893204134.4,30893204134.4,方正证券股份有限公司,2002179,2015-09-16 17:44:01,0,601901.SH
1555,20150410,20150331,1,2576813800.0,1452360600.0,1452360600.0,68551471430.7,68551471430.7,海通证券股份有限公司,1600837,2015-09-16 17:44:06,0,600837.SH
1556,20150410,20150331,1,704817500.0,306547200.0,306547200.0,17225962747.3,17225962747.3,西南证券股份有限公司,1600369,2015-09-16 17:44:01,0,600369.SH
1557,20150410,20150331,1,1057010500.0,510999400.0,510999400.0,14982858290.0,14982858290.0,兴业证券股份有限公司,2023060,2015-09-16 17:43:19,0,601377.SH
1559,20150410,20150331,1,586798400.0,306300600.0,306300600.0,14622228280.1,14622228280.1,长江证券股份有限公司,1000783,2015-09-16 17:42:30,0,000783.SZ
1560,20150410,20150331,1,560900000.0,307190000.0,307190000.0,9142426391.06,9142426391.06,东北证券股份有限公司,1000686,2015-09-16 17:44:04,0,000686.SZ
1564,20150410,20150331,1,1453752400.0,740406300.0,740406300.0,26353476228.5,26353476228.5,光大证券股份有限公司,0yJ94AEF7F,2015-09-16 17:42:26,0,601788.SH
1565,20150410,20150331,1,411900800.0,151256000.0,151256000.0,10263535753.2,10263535753.2,国金证券股份有限公司,1600109,2015-09-16 17:43:21,0,600109.SH
